Product;machSpeed;curSpeed;defective;processed
4.0;80.0;80.0;98;500
4.0;90.0;90.0;144;500
4.0;100.0;100.0;218;500
Product;machSpeed;curSpeed;defective;processed
Product;machSpeed;curSpeed;defective;processed
Product;machSpeed;curSpeed;defective;processed
2.0;50.0;33.333332;4;200
2.0;60.0;40.0;2;200
2.0;70.0;46.666668;8;200
2.0;80.0;53.333332;17;200
2.0;90.0;60.0;27;200
2.0;100.0;66.666664;30;200
2.0;110.0;73.333336;61;200
2.0;120.0;80.0;82;200
2.0;130.0;86.666664;135;200
2.0;140.0;93.333336;200;200
2.0;150.0;100.0;200;200
4.0;50.0;50.0;6;200
4.0;55.0;55.0;13;200
4.0;60.0;60.0;17;200
4.0;65.0;65.0;19;200
4.0;70.0;70.0;33;200
4.0;75.0;75.0;27;200
4.0;80.0;80.0;34;200
4.0;85.0;85.0;54;200
4.0;90.0;90.0;72;200
4.0;95.0;95.0;66;200
4.0;100.0;100.0;87;200
Product;machSpeed;curSpeed;defective;processed
5.0;12.5;10.0;41;200
5.0;23.75;19.0;41;200
5.0;35.0;28.0;56;200
5.0;46.25;37.0;61;200
5.0;57.5;46.0;45;200
5.0;68.75;55.0;74;200
5.0;80.0;64.0;76;200
5.0;91.25;73.0;87;200
5.0;102.5;82.0;121;200
5.0;113.75;91.0;115;200
5.0;125.0;100.0;150;200
Product;machSpeed;curSpeed;defective;processed
3.0;100.0;50.0;86;200
3.0;110.0;55.0;97;200
Product;machSpeed;curSpeed;defective;processed
3.0;120.0;60.0;92;200
3.0;130.0;65.0;68;200
3.0;140.0;70.0;77;200
3.0;150.0;75.0;59;200
3.0;160.0;80.0;67;200
3.0;170.0;85.0;69;200
3.0;180.0;90.0;52;200
3.0;190.0;95.0;30;200
3.0;200.0;100.0;23;200
Product;machSpeed;curSpeed;defective;processed
1.0;100.0;33.333332;69;200
1.0;110.0;36.666668;70;200
1.0;120.0;40.0;75;200
1.0;130.0;43.333332;95;200
1.0;140.0;46.666668;92;200
1.0;150.0;50.0;104;200
1.0;160.0;53.333332;116;200
1.0;170.0;56.666668;111;200
1.0;180.0;60.0;115;200
1.0;190.0;63.333332;122;200
1.0;200.0;66.666664;130;200
1.0;210.0;70.0;134;200
1.0;220.0;73.333336;140;200
1.0;230.0;76.666664;151;200
1.0;240.0;80.0;173;200
1.0;250.0;83.333336;168;200
1.0;260.0;86.666664;176;200
1.0;270.0;90.0;177;200
1.0;280.0;93.333336;183;200
1.0;290.0;96.666664;190;200
1.0;300.0;100.0;200;200
Product;machSpeed;curSpeed;defective;processed
